,beta_max,beta_lower,beta_higher,task,fsm_type,condition
0,0.09,0.005,0.18,explanation,easy,visible
0,0.17500000000000002,0.08,0.275,explanation,easy,hidden
0,0.145,0.055,0.24,explanation,easy,hidden_an
0,0.09,0.0,0.195,explanation,hard,visible
0,0.0,0.0,0.105,explanation,hard,hidden
0,0.09,0.0,0.20500000000000002,explanation,hard,hidden_an
0,0.45,0.335,0.5750000000000001,prediction,easy,visible
0,0.195,0.085,0.315,prediction,easy,hidden
0,0.135,0.01,0.265,prediction,easy,hidden_an
0,0.0,0.0,0.06,prediction,hard,visible
0,0.04,0.0,0.145,prediction,hard,hidden
0,0.085,0.0,0.19,prediction,hard,hidden_an
0,0.24,0.15,0.335,control,easy,visible
0,0.105,0.005,0.20500000000000002,control,easy,hidden
0,0.045,0.0,0.155,control,easy,hidden_an
0,0.2,0.11,0.295,control,hard,visible
0,0.1,0.0,0.21,control,hard,hidden
0,0.09,0.0,0.2,control,hard,hidden_an
